generacion,individuo,score,config,tiempo_ejecucion
5,4,-inf,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.8888888888888888}",0.8771777153015137
6,0,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.4444444444444444}",0.9062483310699463
6,1,-inf,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.8888888888888888}",0.883887767791748
6,2,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.6666666666666666}",1.1283206939697266
6,3,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.2222222222222222}",0.9934608936309814
6,4,-inf,"{""lc"": true, ""del_dup"": false, ""token_list"": [-1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.5432419776916504
7,0,-inf,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.7777777777777777}",0.5501823425292969
7,1,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.4444444444444444}",0.6417903900146484
7,2,-inf,"{""lc"": false, ""del_dup"": false, ""token_list"": [-1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.5177242755889893
7,3,-inf,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.8888888888888888}",0.8806474208831787
7,4,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.4444444444444444}",1.2883214950561523
8,0,0.4764262701594678,"{""lc"": false, ""del_dup"": false, ""token_list"": [2, 1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",1.1609036922454834
8,1,-inf,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.6666666666666666}",0.5233252048492432
